appCode,catalogues,placements,phaseCandidates
ATTENDANCE_MANAGEMENT,hr-specialist-operations,hr-operations/hr-time-projects/hr-time,13-attendance-and-work-schedule
ATTENDANCE_REPORT,people-analytics,analytics/analytics-workforce-operations/analytics-time-operations,30-analytics-and-insights
ATTRITION_DASHBOARD,people-analytics,analytics/analytics-workforce-operations/analytics-workforce,30-analytics-and-insights
AUDIT_LOG,tenant-administration,tenant-administration/admin-assurance-governance/admin-assurance,09-audit
BACKGROUND_CHECKS,hr-specialist-operations,hr-operations/hr-recruitment-lifecycle/hr-recruitment,21-recruitment-and-pre-hire
BENEFITS_COST_ANALYSIS,people-analytics,analytics/analytics-finance-talent/analytics-finance,30-analytics-and-insights
BENEFIT_CATALOGUE,tenant-administration,tenant-administration/admin-reference-data/admin-pay-assets-lifecycle,18-compensation-and-benefits
BENEFIT_PROGRAMS,hr-specialist-operations,hr-operations/hr-pay-expenses/hr-compensation,18-compensation-and-benefits
CANDIDATE_PIPELINE,hr-specialist-operations,hr-operations/hr-recruitment-lifecycle/hr-recruitment,21-recruitment-and-pre-hire
CLIENT_MANAGEMENT,hr-specialist-operations,hr-operations/hr-time-projects/hr-projects,15-projects-and-utilization
COMPENSATION_ANALYSIS,people-analytics,analytics/analytics-finance-talent/analytics-finance,30-analytics-and-insights
COMPENSATION_COMPONENTS,tenant-administration,tenant-administration/admin-reference-data/admin-pay-assets-lifecycle,18-compensation-and-benefits
COMPENSATION_CYCLES,hr-specialist-operations,hr-operations/hr-pay-expenses/hr-compensation,18-compensation-and-benefits
COMPETENCY_CATALOGUE,hr-specialist-operations,hr-operations/hr-talent/hr-skills-learning,24-skills-and-competency
COMPLIANCE_DASHBOARD,people-analytics,analytics/analytics-workforce-operations/analytics-time-operations,28-policies-compliance-and-data-governance;30-analytics-and-insights
COMPLIANCE_TRACKING,hr-specialist-operations,hr-operations/hr-governance-assets-engagement/hr-documents-governance,28-policies-compliance-and-data-governance
COMP_OFF_ADMINISTRATION,hr-specialist-operations,hr-operations/hr-time-projects/hr-leave,12-leave-and-absence
COMP_OFF_ENCASHMENT,employee-self-service,employee/employee-work-time/employee-time-corrections,12-leave-and-absence
DATA_EXPORT_LOG,tenant-administration,tenant-administration/admin-assurance-governance/admin-assurance,09-audit
DATA_RIGHTS_REQUESTS,tenant-administration,tenant-administration/admin-assurance-governance/admin-privacy,28-policies-compliance-and-data-governance
DOCUMENT_REQUESTS,hr-specialist-operations,hr-operations/hr-governance-assets-engagement/hr-documents-governance,08-documents
DOCUMENT_TEMPLATES,tenant-administration,tenant-administration/admin-reference-data/admin-people-documents,08-documents
DOCUMENT_TYPES,tenant-administration,tenant-administration/admin-reference-data/admin-people-documents,08-documents
DOMAIN_CONFIGURATION,tenant-administration,tenant-administration/admin-identity-access/admin-identity,06-authentication
EMAIL_SENDER_CONFIGURATION,tenant-administration,tenant-administration/admin-communication/admin-notifications,07-notifications
EMPLOYEE_DIRECTORY,employee-self-service,employee/employee-overview/employee-information-service,11-core-hr-and-employee-profile
EMPLOYEE_DOCUMENTS,hr-specialist-operations,hr-operations/hr-governance-assets-engagement/hr-documents-governance,08-documents
EMPLOYEE_IMPORT,hr-specialist-operations,hr-operations/hr-workforce/hr-workforce-records,11-core-hr-and-employee-profile
EMPLOYEE_PROFILE_CONFIGURATION,hr-specialist-operations,hr-operations/hr-workforce/hr-workforce-service,11-core-hr-and-employee-profile
EMPLOYEE_RECORDS,hr-specialist-operations,hr-operations/hr-workforce/hr-workforce-records,11-core-hr-and-employee-profile
EMPLOYEE_REFERRALS,employee-self-service,employee/employee-lifecycle/employee-lifecycle-journeys,21-recruitment-and-pre-hire
EMPLOYMENT_CHANGES,hr-specialist-operations,hr-operations/hr-workforce/hr-workforce-records,11-core-hr-and-employee-profile
ENGAGEMENT_SURVEYS,hr-specialist-operations,hr-operations/hr-governance-assets-engagement/hr-engagement,29-engagement-and-wellbeing
EXPENSE_ADMINISTRATION,hr-specialist-operations,hr-operations/hr-pay-expenses/hr-expenses,20-expenses
EXPENSE_ANALYSIS,people-analytics,analytics/analytics-workforce-operations/analytics-time-operations,30-analytics-and-insights
EXPENSE_POLICIES,tenant-administration,tenant-administration/admin-reference-data/admin-process-time,20-expenses
FINAL_SETTLEMENTS,hr-specialist-operations,hr-operations/hr-recruitment-lifecycle/hr-lifecycle,23-offboarding-and-alumni
GIVE_FEEDBACK,employee-self-service,employee/employee-growth/employee-performance,26-performance-management
GIVE_RECOGNITION,manager-self-service,manager/manager-development/manager-learning-recognition,29-engagement-and-wellbeing
HEADCOUNT_ANALYSIS,people-analytics,analytics/analytics-workforce-operations/analytics-workforce,30-analytics-and-insights
HIRING_FUNNEL,people-analytics,analytics/analytics-finance-talent/analytics-talent,30-analytics-and-insights
HOLIDAY_CALENDARS,hr-specialist-operations,hr-operations/hr-time-projects/hr-time,13-attendance-and-work-schedule
HR_ANALYTICS,people-analytics,analytics/analytics-workforce-operations/analytics-workforce,30-analytics-and-insights
HR_SERVICE_DESK,hr-specialist-operations,hr-operations/hr-workforce/hr-workforce-service,11-core-hr-and-employee-profile
IDENTIFICATION_TYPES,tenant-administration,tenant-administration/admin-reference-data/admin-people-documents,02-party-and-employment
IDENTITY_ADMINISTRATION,tenant-administration,tenant-administration/admin-identity-access/admin-identity,06-authentication
INITIATE_PIP,manager-self-service,manager/manager-development/manager-performance,26-performance-management
INTERVIEW_OPERATIONS,hr-specialist-operations,hr-operations/hr-recruitment-lifecycle/hr-recruitment,21-recruitment-and-pre-hire
INTERVIEW_PANEL,manager-self-service,manager/manager-team-operations/manager-lifecycle,21-recruitment-and-pre-hire
JOB_CATALOGUE,tenant-administration,tenant-administration/admin-reference-data/admin-people-documents,17-job-architecture
JOB_REQUISITIONS,hr-specialist-operations,hr-operations/hr-recruitment-lifecycle/hr-recruitment,21-recruitment-and-pre-hire
LEARNING_PATHS,hr-specialist-operations,hr-operations/hr-talent/hr-skills-learning,25-learning-and-development
LEARNING_PROGRAMS,hr-specialist-operations,hr-operations/hr-talent/hr-skills-learning,25-learning-and-development
LEAVE_ADMINISTRATION,hr-specialist-operations,hr-operations/hr-time-projects/hr-leave,12-leave-and-absence
LEAVE_BALANCE,employee-self-service,employee/employee-work-time/employee-time-corrections,12-leave-and-absence
LEAVE_ENCASHMENT,hr-specialist-operations,hr-operations/hr-time-projects/hr-leave,12-leave-and-absence
LEAVE_POLICIES,hr-specialist-operations,hr-operations/hr-time-projects/hr-leave,12-leave-and-absence
LEAVE_TRENDS,people-analytics,analytics/analytics-workforce-operations/analytics-time-operations,12-leave-and-absence;30-analytics-and-insights
LOOKUP_VALUES,tenant-administration,tenant-administration/admin-reference-data/admin-people-documents,02-party-and-employment
MY_ACTIVITY,employee-self-service,,09-audit
MY_APPROVALS,manager-self-service,manager/manager-overview/manager-work-queue,12-leave-and-absence;14-workflow-and-approvals
MY_ASSETS,employee-self-service,employee/employee-lifecycle/employee-documents-compliance,27-asset-management
MY_ATTENDANCE,employee-self-service,employee/employee-work-time/employee-work,13-attendance-and-work-schedule
MY_BENEFITS,employee-self-service,employee/employee-pay-benefits/employee-compensation-benefits,18-compensation-and-benefits
MY_COMPENSATION,employee-self-service,employee/employee-pay-benefits/employee-compensation-benefits,18-compensation-and-benefits
MY_DOCUMENTS,employee-self-service,employee/employee-lifecycle/employee-documents-compliance,08-documents
MY_EXIT,employee-self-service,employee/employee-lifecycle/employee-lifecycle-journeys,23-offboarding-and-alumni
MY_EXPENSES,employee-self-service,employee/employee-overview/employee-quick-actions;employee/employee-work-time/employee-expenses-travel,20-expenses
MY_GOALS,employee-self-service,employee/employee-growth/employee-performance,26-performance-management
MY_HR_REQUESTS,employee-self-service,employee/employee-overview/employee-information-service,11-core-hr-and-employee-profile
MY_LEARNING,employee-self-service,employee/employee-growth/employee-learning-skills,25-learning-and-development
MY_NOTIFICATIONS,employee-self-service,employee/employee-overview/employee-information-service,07-notifications
MY_NOTIFICATION_PREFERENCES,employee-self-service,,07-notifications
MY_ONBOARDING,employee-self-service,employee/employee-lifecycle/employee-lifecycle-journeys,22-employee-onboarding
MY_PAYSLIPS,employee-self-service,employee/employee-pay-benefits/employee-pay,19-payroll
MY_PERFORMANCE,employee-self-service,employee/employee-growth/employee-performance,26-performance-management
MY_PIP,employee-self-service,employee/employee-growth/employee-performance,26-performance-management
MY_PROFILE,employee-self-service,employee/employee-overview/employee-information-service,11-core-hr-and-employee-profile
MY_PROJECTS,employee-self-service,employee/employee-work-time/employee-work,15-projects-and-utilization
MY_SCHEDULE,employee-self-service,employee/employee-work-time/employee-work,13-attendance-and-work-schedule
MY_SECURITY,employee-self-service,,06-authentication
MY_SKILLS,employee-self-service,employee/employee-growth/employee-learning-skills,24-skills-and-competency
MY_TASKS,employee-self-service,employee/employee-overview/employee-quick-actions,14-workflow-and-approvals
MY_TAX_DECLARATIONS,employee-self-service,employee/employee-pay-benefits/employee-pay,19-payroll
MY_TAX_DOCUMENTS,employee-self-service,employee/employee-pay-benefits/employee-pay,19-payroll
MY_TIMESHEET,employee-self-service,employee/employee-overview/employee-quick-actions;employee/employee-work-time/employee-work,16-timesheet
MY_TRAVEL_ADVANCES,employee-self-service,employee/employee-work-time/employee-expenses-travel,20-expenses
NOTIFICATION_RULES,tenant-administration,tenant-administration/admin-communication/admin-notifications,07-notifications
NOTIFICATION_TEMPLATES,tenant-administration,tenant-administration/admin-communication/admin-notifications,07-notifications
OFFBOARDING_OPERATIONS,hr-specialist-operations,hr-operations/hr-recruitment-lifecycle/hr-lifecycle,23-offboarding-and-alumni
OFFER_MANAGEMENT,hr-specialist-operations,hr-operations/hr-recruitment-lifecycle/hr-recruitment,21-recruitment-and-pre-hire
ONBOARDING_METRICS,people-analytics,analytics/analytics-workforce-operations/analytics-workforce,30-analytics-and-insights
ONBOARDING_OPERATIONS,hr-specialist-operations,hr-operations/hr-recruitment-lifecycle/hr-lifecycle,22-employee-onboarding
ORG_CHART,employee-self-service,employee/employee-overview/employee-information-service,02-party-and-employment
OUTBOUND_WEBHOOKS,tenant-administration,tenant-administration/admin-communication/admin-notifications,07-notifications
PAYROLL_COMPLIANCE,hr-specialist-operations,hr-operations/hr-pay-expenses/hr-payroll,19-payroll
PAYROLL_INPUTS,hr-specialist-operations,hr-operations/hr-pay-expenses/hr-payroll,19-payroll
PAYROLL_RUNS,hr-specialist-operations,hr-operations/hr-pay-expenses/hr-payroll,19-payroll
PAYROLL_SUMMARY,people-analytics,analytics/analytics-finance-talent/analytics-finance,30-analytics-and-insights
PERFORMANCE_CYCLES,hr-specialist-operations,hr-operations/hr-talent/hr-performance,26-performance-management
PERFORMANCE_INSIGHTS,people-analytics,analytics/analytics-finance-talent/analytics-talent,26-performance-management;30-analytics-and-insights
PERF_REVIEW,manager-self-service,manager/manager-development/manager-performance,26-performance-management
PIP_MANAGEMENT,hr-specialist-operations,hr-operations/hr-talent/hr-performance,26-performance-management
POLICY_ACKNOWLEDGEMENTS,employee-self-service,employee/employee-lifecycle/employee-documents-compliance,28-policies-compliance-and-data-governance
POLICY_MANAGEMENT,hr-specialist-operations,hr-operations/hr-governance-assets-engagement/hr-documents-governance,28-policies-compliance-and-data-governance
POSITIONS,hr-specialist-operations,hr-operations/hr-time-projects/hr-projects,17-job-architecture
POSITION_REQUIREMENTS,tenant-administration,tenant-administration/admin-reference-data/admin-people-documents,17-job-architecture
PROBATION_MANAGEMENT,hr-specialist-operations,hr-operations/hr-workforce/hr-workforce-records,11-core-hr-and-employee-profile
PROBATION_REVIEW,manager-self-service,manager/manager-team-operations/manager-lifecycle,11-core-hr-and-employee-profile
PROJECT_DATA_IMPORT,hr-specialist-operations,hr-operations/hr-time-projects/hr-projects,15-projects-and-utilization
PROJECT_MANAGEMENT,hr-specialist-operations,hr-operations/hr-time-projects/hr-projects,15-projects-and-utilization
PROJECT_UTILIZATION,people-analytics,analytics/analytics-workforce-operations/analytics-time-operations,15-projects-and-utilization;30-analytics-and-insights
RECOGNITION,employee-self-service,employee/employee-overview/employee-engagement,29-engagement-and-wellbeing
RECOGNITION_PROGRAMS,hr-specialist-operations,hr-operations/hr-governance-assets-engagement/hr-engagement,29-engagement-and-wellbeing
REFERENCE_LETTERS,hr-specialist-operations,hr-operations/hr-recruitment-lifecycle/hr-lifecycle,23-offboarding-and-alumni
REFERRAL_MANAGEMENT,hr-specialist-operations,hr-operations/hr-recruitment-lifecycle/hr-recruitment,21-recruitment-and-pre-hire
REIMBURSEMENT_RUNS,hr-specialist-operations,hr-operations/hr-pay-expenses/hr-expenses,20-expenses
REPORT_BUILDER,people-analytics,analytics/analytics-finance-talent/analytics-authoring,30-analytics-and-insights
RETENTION_POLICIES,tenant-administration,tenant-administration/admin-assurance-governance/admin-privacy,28-policies-compliance-and-data-governance
ROLE_MANAGEMENT,tenant-administration,tenant-administration/admin-identity-access/admin-access,03-access-control
SALARY_REVISIONS,hr-specialist-operations,hr-operations/hr-pay-expenses/hr-compensation,18-compensation-and-benefits
SECURITY_POLICIES,tenant-administration,tenant-administration/admin-identity-access/admin-identity,06-authentication
SENSITIVE_ACCESS_LOG,tenant-administration,tenant-administration/admin-assurance-governance/admin-assurance,09-audit
SHIFT_PLANNING,manager-self-service,manager/manager-team-operations/manager-time-projects,13-attendance-and-work-schedule
SKILLS_CATALOGUE,hr-specialist-operations,hr-operations/hr-talent/hr-skills-learning,24-skills-and-competency
SKILL_GAP_REPORT,people-analytics,analytics/analytics-finance-talent/analytics-talent,24-skills-and-competency;30-analytics-and-insights
SSO_CONFIGURATION,tenant-administration,tenant-administration/admin-identity-access/admin-identity,06-authentication
SURVEYS,employee-self-service,employee/employee-overview/employee-engagement,29-engagement-and-wellbeing
TASK_TEMPLATES,tenant-administration,tenant-administration/admin-reference-data/admin-pay-assets-lifecycle,22-employee-onboarding
TAX_DECLARATION_ADMIN,hr-specialist-operations,hr-operations/hr-pay-expenses/hr-payroll,19-payroll
TEAM_ATTENDANCE,manager-self-service,manager/manager-team-operations/manager-time-projects,13-attendance-and-work-schedule
TEAM_CALENDAR,manager-self-service,manager/manager-overview/manager-work-queue,12-leave-and-absence
TEAM_DIRECTORY,manager-self-service,manager/manager-overview/manager-work-queue,11-core-hr-and-employee-profile
TEAM_EXPENSES,manager-self-service,manager/manager-team-operations/manager-expenses,20-expenses
TEAM_GOALS,manager-self-service,manager/manager-development/manager-performance,26-performance-management
TEAM_LEARNING,manager-self-service,manager/manager-development/manager-learning-recognition,25-learning-and-development
TEAM_OFFBOARDING,manager-self-service,manager/manager-team-operations/manager-lifecycle,23-offboarding-and-alumni
TEAM_ONBOARDING,manager-self-service,manager/manager-team-operations/manager-lifecycle,22-employee-onboarding
TEAM_SKILLS,manager-self-service,manager/manager-development/manager-learning-recognition,24-skills-and-competency
TEAM_TIMESHEET,manager-self-service,manager/manager-team-operations/manager-time-projects,16-timesheet
TEAM_UTILIZATION,manager-self-service,manager/manager-team-operations/manager-time-projects,15-projects-and-utilization
TENANT_ACCESS_REVIEWS,tenant-administration,tenant-administration/admin-identity-access/admin-access,03-access-control
TIMESHEET_ADMINISTRATION,hr-specialist-operations,hr-operations/hr-time-projects/hr-time,16-timesheet
TIMESHEET_COMPLIANCE,people-analytics,analytics/analytics-workforce-operations/analytics-time-operations,30-analytics-and-insights
TIMESHEET_POLICIES,tenant-administration,tenant-administration/admin-reference-data/admin-process-time,16-timesheet
TRAINING_EFFECTIVENESS,people-analytics,analytics/analytics-finance-talent/analytics-talent,30-analytics-and-insights
TRAVEL_ADVANCE_ADMIN,hr-specialist-operations,hr-operations/hr-pay-expenses/hr-expenses,20-expenses
UTILIZATION_POLICIES,hr-specialist-operations,hr-operations/hr-time-projects/hr-projects,15-projects-and-utilization
WORKFLOW_DEFINITIONS,tenant-administration,tenant-administration/admin-reference-data/admin-process-time,14-workflow-and-approvals
WORKFLOW_OPERATIONS,hr-specialist-operations,hr-operations/hr-governance-assets-engagement/hr-documents-governance,14-workflow-and-approvals
WORK_SCHEDULES,hr-specialist-operations,hr-operations/hr-time-projects/hr-time,13-attendance-and-work-schedule
WORK_SCHEDULE_TEMPLATES,tenant-administration,tenant-administration/admin-reference-data/admin-process-time,13-attendance-and-work-schedule
